scope,store_id,term,coefficient,p_value,ci_lower,ci_upper,r_squared,n_obs,fit_quality
Store 1,1,fuel_price,-51643.959001,0.307131,-150757.097811,47469.179809,0.115388,143,low
Store 1,1,cpi,19777.322990,0.062797,-1055.869824,40610.515805,0.115388,143,low
Store 1,1,unemployment,107073.005677,0.195993,-55224.545917,269370.557270,0.115388,143,low
Store 1,1,holiday_flag,107788.854797,0.125061,-29942.290839,245520.000433,0.115388,143,low
Store 2,2,fuel_price,-274747.214787,0.022919,-511470.697875,-38023.731699,0.105975,143,low
Store 2,2,cpi,55119.771759,0.180761,-25597.170901,135836.714420,0.105975,143,low
Store 2,2,unemployment,277992.160234,0.208332,-155062.267622,711046.588090,0.105975,143,low
Store 2,2,holiday_flag,125957.158470,0.255083,-90960.423935,342874.740876,0.105975,143,low
Store 3,3,fuel_price,-49781.827386,0.011735,-88500.063984,-11063.590788,0.199956,143,low
Store 3,3,cpi,10959.566164,0.001431,4222.464128,17696.668201,0.199956,143,low
Store 3,3,unemployment,47368.360025,0.033621,3670.462875,91066.257175,0.199956,143,low
Store 3,3,holiday_flag,32276.863767,0.169052,-13722.895737,78276.623271,0.199956,143,low
Store 4,4,fuel_price,-211042.500124,0.066940,-436817.068391,14732.068142,0.176902,143,low
Store 4,4,cpi,112199.568571,0.036920,6811.585032,217587.552109,0.176902,143,low
Store 4,4,unemployment,27929.580434,0.506774,-54527.909422,110387.070289,0.176902,143,low
Store 4,4,holiday_flag,149506.686703,0.246371,-103275.555057,402288.928464,0.176902,143,low
Store 5,5,fuel_price,-25444.287582,0.056547,-51598.040333,709.465168,0.236126,143,moderate
Store 5,5,cpi,8782.098265,0.004033,2796.292124,14767.904406,0.236126,143,moderate
Store 5,5,unemployment,52103.509875,0.041776,1939.564103,102267.455647,0.236126,143,moderate
Store 5,5,holiday_flag,39953.562038,0.086562,-5738.325565,85645.449641,0.236126,143,moderate
Store 6,6,fuel_price,-176103.419499,0.061689,-360824.798846,8617.959848,0.071023,143,low
Store 6,6,cpi,39259.458368,0.151279,-14361.223669,92880.140404,0.071023,143,low
Store 6,6,unemployment,236174.658011,0.156080,-90179.294351,562528.610374,0.071023,143,low
Store 6,6,holiday_flag,97247.567298,0.353253,-108076.207630,302571.342225,0.071023,143,low
Store 7,7,fuel_price,-46634.002438,0.145490,-109424.597168,16156.592291,0.244388,143,moderate
Store 7,7,cpi,44135.087108,0.000030,23390.721343,64879.452874,0.244388,143,moderate
Store 7,7,unemployment,228379.319792,0.002162,82432.815531,374325.824054,0.244388,143,moderate
Store 7,7,holiday_flag,79748.029100,0.067143,-5630.131623,165126.189823,0.244388,143,moderate
Store 8,8,fuel_price,-67427.005432,0.166979,-163054.117028,28200.106165,0.076359,143,low
Store 8,8,cpi,15707.258344,0.110777,-3597.618113,35012.134800,0.076359,143,low
Store 8,8,unemployment,110465.583443,0.167123,-46253.394299,267184.561185,0.076359,143,low
Store 8,8,holiday_flag,61238.107889,0.271407,-47892.201920,170368.417698,0.076359,143,low
Store 9,9,fuel_price,-46327.532300,0.180437,-114118.720093,21463.655493,0.181159,143,low
Store 9,9,cpi,18990.033231,0.021583,2790.800673,35189.265789,0.181159,143,low
Store 9,9,unemployment,114504.404482,0.042698,3768.054004,225240.754960,0.181159,143,low
Store 9,9,holiday_flag,40776.533342,0.266922,-31212.368895,112765.435578,0.181159,143,low
Store 10,10,fuel_price,-309480.603116,0.035513,-597986.330466,-20974.875767,0.091091,143,low
Store 10,10,cpi,120021.229100,0.083320,-15817.538403,255859.996602,0.091091,143,low
Store 10,10,unemployment,162068.183783,0.048839,825.315851,323311.051715,0.091091,143,low
Store 10,10,holiday_flag,192878.477914,0.264658,-146029.822626,531786.778454,0.091091,143,low
Store 11,11,fuel_price,-185003.883468,0.059428,-377363.594685,7355.827748,0.085645,143,low
Store 11,11,cpi,31406.827696,0.070792,-2662.209956,65475.865349,0.085645,143,low
Store 11,11,unemployment,181535.800615,0.101332,-35625.608806,398697.210036,0.085645,143,low
Store 11,11,holiday_flag,73484.373310,0.332102,-75013.811274,221982.557894,0.085645,143,low
Store 12,12,fuel_price,-135400.896745,0.092561,-293174.136722,22372.343232,0.115110,143,low
Store 12,12,cpi,61640.038112,0.039266,3032.821591,120247.254632,0.115110,143,low
Store 12,12,unemployment,44306.285419,0.027384,4941.373387,83671.197452,0.115110,143,low
Store 12,12,holiday_flag,119343.338273,0.179214,-54802.142152,293488.818698,0.115110,143,low
Store 13,13,fuel_price,-136539.961140,0.378466,-440395.016101,167315.093820,0.052295,143,low
Store 13,13,cpi,42429.998541,0.473226,-73516.174038,158376.171120,0.052295,143,low
Store 13,13,unemployment,-13406.009158,0.850042,-152380.705631,125568.687315,0.052295,143,low
